Headline,Content,sentiment,sentiment_label
Chandu Champion Song Tu Hai Champion: Celebration Of Kartik Aaryan's Never-Say-Die Spirit,The song has been sung by Arijit Singh and  Amit Mishra,0.0,neutral
Meta Finds Deceptive Content Likely Generated by AI on Facebook and Instagram,"Meta said on Wednesday it had found ""likely AI-generated"" content used deceptively on its Facebook and Instagram platforms, including comments praising Israel's handling of the war in Gaza published below posts from global news organizations and US lawmakers.",0.0,neutral
World Multiple Sclerosis Day 2024: Watch Out For These Early Signs,World Multiple Sclerosis Day 2024: Early diagnosis of MS can lead to better management and treatment of the condition.,0.13999999999999999,positive
"Rhea Kapoor's Delicious ""Taco Party"" Will Surely Make You Slurp - See Pic",Rhea Kapoor added sliced onions to the taco for enhanced taste.,0.75,positive
"Kota Factory 3 Date Announcement: Can You Crack Jitendra Kumar's ""Surprise Test ?""",So you think you can crack this math problem?,0.0,neutral
"Arm Unveils New Designs, Software Tools That Help Smartphones Handle AI Tasks","ArmÂ Holdings on Wednesday unveiled new chip blueprints and software tools to help smartphones handle artificial intelligence tasks, along with changes to how it delivers those blueprints that could help speed their adoption.",-0.10909090909090909,negative
"""'Ben Stokes' Came Out Of Virat Kohli's Mouth"": Dinesh Karthik On Getting Send-off, Reveals India Star's Sledging",Dinesh Karthik opened up on the banter he had with Indian cricket teammates Virat Kohli and Hardik Pandya.,0.0,neutral
"Ranveer Singh And Prasanth Varma's Rakshas Shelved: ""Somethings Aren't Meant To Be""","In the official statement, Ranveer Singh said, ""Prasanth (Varma) is a very special talent.â€",0.4642857142857143,positive
"Isha Malviya On Rinku Dhawan's Comment On Her Breakup With Samarth: ""Khud Ki Marriage Successful Nahi Rahi Hai""","In April, Samarth Jurel confirmed his breakup with Isha Malviya",0.575,positive
"Realme GT 6 India Launch Confirmed, Likely to Be a Rebranded Realme GT Neo 6","Realme GT 6 will be the next offering from the brand, the Chinese tech company announced on Thursday (May 30). It is confirmed to be launched in India alongside other global markets. The latest announcement comes a few days after Realme unveiled its GT 6T in India. The Realme GT 7 Pro is also confirmed to come to the country later in the year. The Realme GT 6 is believed to be a rebranded version of the Realme GT Neo 6, which debuted in the Chinese market this month.",0.11458333333333333,positive
ChatGPT Rolls Out Free User Access to Custom GPTs; Can Now Try Purpose-Specific AI Chatbots,"ChatGPT users should expect another feature update from OpenAI now. The artificial intelligence (AI) firm has begun rolling out access to GPTs, its mini chatbots designed for a specific purpose, globally. Even those on the free tier of ChatGPT can interact with these chatbots and use them for specific tasks.",7.93016446160826e-18,positive
OpenAI Signs Content Deals With The Atlantic and Vox Media: Here's What It Means,"Sam Altman-led OpenAI said on Wednesday it has signed content and product partnerships with The Atlantic and Vox Media, helping the artificial intelligence firm to boost and train its products.",-0.4,negative
"OnePlus 12 Glacial White Colour Variant to Launch in India on June 6: Specifications, Features","OnePlus 12 Glacial White launch date has been announced by the company. The upcoming colour variant of the OnePlus 12 will join theÂ Flowy Emerald and Silky Black colour options that were introduced in India and global markets earlier this year. The OnePlus 12 Glacial White is expected to launch with the same specifications as the original model and will be launched in India on June 6, according to the company.",0.012037037037037037,positive
10 Ayurvedic Drinks To Keep You Cool All Summer,"For best results, consume these drinks throughout the day, particularly during peak heat hours.",0.5055555555555556,positive
Vivo X200 Series Could Be First to Be Equipped With MediaTek Dimensity 9400 SoC; Chipset Details Tipped,Vivo X100 and Vivo X100 Pro were unveiled in January in India with the MediaTek Dimensity 9300 SoC. Rumours about the Vivo X200 series have now started appearing on the Web. MediaTek's next flagship chipset â€” Dimesnity 9400 â€” is said to fuel the purported Vivo X200 and Vivo X200 Pro. The next generation chipset is tipped to come with the MT6991 model number. It is said to use TSMC's second-generation 3nm N3E node.,0.08333333333333333,positive
You've Been Making Salads Wrong! These 3 Mistakes Are Ruining Your Healthy Lunch,Salads are healthy and nutritious but only if they are made in the right way. Read on to know what mistakes Nutritionist Deepsikha Jain suggests you avoid.,0.13214285714285715,positive
What Makes Aam Panna Great For Your Health? Discover 5 Amazing Benefits,"Health Benefits Of Aam Panna: From aiding in digestion to enhancing skin health, aam panna can work wonders for us.",0.7000000000000001,positive
"Kriti Sanon Says ""Later"" To Lazy Eating Habits, ""Hi"" To Glowing Skin Juice - See Pic",Actor Kriti Sanon has hinted at the recipe of her healthy fruit and veggie juice. Take a look!,0.125,positive
"""SRKKR"" - Amul's Topical For IPL Champions KKR Features Shah Rukh Khan Too","Amul, in its signature playful style, shared an illustration of Bollywood icon Shah Rukh Khan (the team's owner) along with the captain, Shreyas Iyer.",0.0,neutral
UK PM Rishi Sunak Enjoys Scones With Cream And Jam In Cornwall,The UK PM's Instagram story features two fluffy scones with jam and butter.,-0.2,negative
"Bhagyashree Shows How To Make Cheese Vegetable Soup, Shares Recipe","In her recent ""home cooking"" entry on Instagram, the actress presented an easy-to-make vegetable soup recipe. Take a look at the video below to learn how to make it:",0.0,neutral
5 Simple Tricks To Remove Fish Smell Off Your Fingers,"That fishy smell on your hands putting you off? We totally get it. Hence, we got you some of the easiest ways to get rid of the smell.",0.0,neutral
Tired of Plain Lemon Water? Try This Creamy Sweet Brazilian Lemonade Recipe,Brazilian lemonade is made with pantry staples and tastes delicious. Learn how to make this recipe to beat the summer heat like a hero!,0.1839285714285714,positive
Litchi Health Benefits: 5 Reasons Why You Should Eating This Seasonal Fruit,"Litchi health benefit: Litchi is loaded with vitamin C, vitamin D, magnesium, riboflavin, copper, phosphorus and water. It can offer some amazing health benefits. Read here to know more.",0.55,positive
Can Heatwaves Cause Brain Stroke,Below we share ways in which heatwaves can cause a brain stroke and simple tips to help you prevent it.,0.0,neutral
5 Delicious Sabzis Made With Fruits That You Need To Try This Summer,Sabzis can be prepared using fruits and taste super delicious. These are not viral experiments but rather legit recipes people cook in their homes. Let's take a look!,0.7777777777777777,positive
"Watch: Delhi Food Vlogger Takes Spice Challenge To Another Level, Eats Plate Full Of Raw Chillies","In a video, which is going viral on Instagram, Ravi can be seen eating raw red and green chillies from a big tray.",-0.05192307692307693,negative
Date Night Dining In Chennai: 10 Most Romantic Restaurants And Dining Spots,Where to go for a romantic dinner in Chennai? You'll love these 10 options.,0.25,positive
Viral 'Oatzempic' Drink For Weight Loss: Is It Helpful Or A Fad? Experts Weigh In,"It is an oats-based drink, which as per various social media users, has helped them shed weight seamlessly. Read on for details.",0.044444444444444446,positive
5 Simple Tips To Master The Art Of Malabar Parotta At Home,Malabar parotta is loved for its crispy texture and versatile taste. Read on to learn how you can make the perfect Malabar parotta at home... and impress your guests!,0.5666666666666667,positive
Can Your Copper Utensils Secretly Make You Sick? A Doctor Breaks Down Risks,Not knowing how to use and maintain your copper utensils can put you at risk of copper poisoning. Read on to learn how to prevent copper toxicity and use copper utensils properly.,-0.3174603174603175,negative
Viral Video Showing 'Robotic' Attempt To Knead Dough Gets 100 Million Views,A video edited to depict a 'robotic' figure kneading dough at a fast pace has received a lot of attention on Instagram. It has sparked a range of reactions in the comments section.,0.0,neutral
"""Rajinikanth-Style Dosas"": Mumbai Street Vendor's Skills Go Viral","The viral video shared on Instagram is from a street-side food stall in Dadar, Mumbai. The vendor's lighting speed reminds fans of superstar Rajinikanth",0.0,neutral
Gond And Gond Katira Are Not The Same. Here's How To Tell These Edible Gums Apart,"Gond and gond katira are often confused for being the same, but the reality is the opposite. Here are some key differences between the two that you should know.",-0.08,negative
10 Foods To Help Avoid Bloating This Summer,"Incorporating these foods into your diet can help you feel more comfortable and less bloated, especially during the summer months.",0.18333333333333335,positive
Skincare Tips: Follow These Sunscreen Rules This Summer For Healthy Skin,Choosing the right sunscreen is one of the most efficient ways to protect your skin from these harmful rays.,0.42857142857142855,positive
Follow These Tips To Manage Asthma During Heatwave,"In this article, we share strategies to help you manage asthma during heatwaves.",0.0,neutral
Weight Loss Foods: Here's How Pulses Can Help You Shed Kilos This Summer,Read on to know how pulses can help with weight loss.,0.0,neutral
Anti-Inflammatory Summer Foods For People With Arthritis,Below we share a list of anti-inflammatory you add to your summer diet to better manage arthritis.,0.5,positive
Beat The Heat With Saunf: Know 5 Different Ways To Add Fennel Seeds To Your Summer Diet,Fennel seeds leave a cooling effect on your body. You can add these seeds to your diet in several ways. Read here to know some of these.,0.0,neutral
Keep These Things In Mind When Using Sunscreen During Summer,Here we share things to keep in mind when using sunscreen in summer.,0.0,neutral
10 Foods To Help Prevent Dehydration This Summer,Below we share a list of summer foods you can consume to prevent dehydration.,0.0,neutral
Follow These Tips For An Easy Workout Routine This Summer,"In this article, we share a list of workout tips to make exercising easy during summer.",0.43333333333333335,positive
These Desi Coolants Will Help You Stay Cool This Summer,Below we share a list of desi coolants you must add to your summer diet.,0.35,positive
Know The Benefits Of Sipping Coconut Water In Summer,Adding coconut water to diet can also offer many health benefits. Keep reading to know more.,0.5,positive
9 Cooking Tips To Make Your Food Healthier,Here we share a list of cooking hacks you can follow to improve your diet.,0.0,neutral
Can You Prevent Postpartum Depression?,Here we share a list of prevention tips you can follow to reduce your risk of postpartum depression.,0.0,neutral
10 Benefits Of Taking Zinc Supplements,Below we discuss a list of benefits you can achieve from taking zinc supplements.,0.0,neutral
Summer Diet: Avoid These 5 Foods To Prevent Summer-Related Issues,"In this article, we have a list of foods and drinks that you must eliminate from your diet this summer.",0.0,neutral
